post_date,job_family,count_id_indexed
2020-04-01,Entertainment and Recreation,0.3353
2020-04-01,Facilities/Constr,0.4484
2020-04-01,Finance/Insurance,0.4570
2020-04-01,Food & Beverage,0.3186
2020-04-01,Healthcare,0.5271
2020-04-01,Hospitality Staff,0.3497
2020-04-01,Human Resources,0.4834
2020-04-01,IT,0.4675
2020-04-01,Manufacturing/Operations Staff,0.6310
2020-04-01,Marketing/Advertising,0.4169
2020-04-01,Product Management,0.5746
2020-04-01,Retail Staff,0.4362
2020-04-01,Sales,0.4402
2020-04-01,Security,0.5954
2020-04-01,Skilled Trades,0.5010
2020-04-01,Supply Chain Staff,0.4927
2020-04-01,Unassigned,0.6083
2020-04-02,,0.4535
2020-04-02,Customer Service,0.3960
2020-04-02,Entertainment and Recreation,0.3098
2020-04-02,Facilities/Constr,0.4052
2020-04-02,Finance/Insurance,0.4330
2020-04-02,Food & Beverage,0.3022
2020-04-02,Healthcare,0.4785
2020-04-02,Hospitality Staff,0.2985
2020-04-02,Human Resources,0.4416
2020-04-02,IT,0.4058
2020-04-02,Manufacturing/Operations Staff,0.5818
2020-04-02,Marketing/Advertising,0.3932
2020-04-02,Product Management,0.5335
2020-04-02,Retail Staff,0.4001
2020-04-02,Sales,0.4070
2020-04-02,Security,0.5604
2020-04-02,Skilled Trades,0.4675
2020-04-02,Supply Chain Staff,0.4631
2020-04-02,Unassigned,0.6167
2020-04-03,,0.4775
2020-04-03,Customer Service,0.4182
2020-04-03,Entertainment and Recreation,0.3074
2020-04-03,Facilities/Constr,0.3915
2020-04-03,Finance/Insurance,0.4456
2020-04-03,Food & Beverage,0.3108
2020-04-03,Healthcare,0.4510
2020-04-03,Hospitality Staff,0.2763
2020-04-03,Human Resources,0.4494
2020-04-03,IT,0.3811
2020-04-03,Manufacturing/Operations Staff,0.5665
2020-04-03,Marketing/Advertising,0.4011
2020-04-03,Product Management,0.5380
2020-04-03,Retail Staff,0.4182
2020-04-03,Sales,0.4088
2020-04-03,Security,0.5594
2020-04-03,Skilled Trades,0.4719
2020-04-03,Supply Chain Staff,0.4760
2020-04-03,Unassigned,0.6621
2020-04-04,,0.4639
2020-04-04,Customer Service,0.3802
2020-04-04,Entertainment and Recreation,0.2841
2020-04-04,Facilities/Constr,0.3525
2020-04-04,Finance/Insurance,0.4180
2020-04-04,Food & Beverage,0.2910
2020-04-04,Healthcare,0.4147
2020-04-04,Hospitality Staff,0.2265
2020-04-04,Human Resources,0.3994
2020-04-04,IT,0.3295
2020-04-04,Manufacturing/Operations Staff,0.5094
2020-04-04,Marketing/Advertising,0.3717
2020-04-04,Product Management,0.5095
2020-04-04,Retail Staff,0.3691
2020-04-04,Sales,0.3661
2020-04-04,Security,0.5012
2020-04-04,Skilled Trades,0.4238
2020-04-04,Supply Chain Staff,0.4231
2020-04-04,Unassigned,0.6531
2020-04-05,,0.4611
2020-04-05,Customer Service,0.3663
2020-04-05,Entertainment and Recreation,0.2536
2020-04-05,Facilities/Constr,0.3281
2020-04-05,Finance/Insurance,0.3906
2020-04-05,Food & Beverage,0.2739
2020-04-05,Healthcare,0.3874
2020-04-05,Hospitality Staff,0.1990
2020-04-05,Human Resources,0.3787
2020-04-05,IT,0.2687
2020-04-05,Manufacturing/Operations Staff,0.4377
2020-04-05,Marketing/Advertising,0.3503
2020-04-05,Product Management,0.4679
2020-04-05,Retail Staff,0.3493
2020-04-05,Sales,0.3211
